date,rank,line,M1,M2,M3,M4,M5,M6,M7,M8,likely_variant,notes,tamper
2025-07-03,S,テキスト 1.txt,0,1,0,0,0,1,1,0,,"テキスト 1.txt: M2, M6, M7",[]
2025-07-03,S,テキスト 2.txt,0,0,0,0,0,1,1,0,,"テキスト 2.txt: M6, M7",[]
2025-07-03,S,テキスト 3.txt,0,1,0,0,0,1,1,0,,"テキスト 3.txt: M2, M6, M7",[]
2025-07-03,SSS,テキスト 4.txt,1,0,0,0,1,1,0,0,,"テキスト 4.txt: M1, M5, M6",[]
2025-07-03,SSS,テキスト 5.txt,1,1,0,0,1,1,0,1,,"テキスト 5.txt: M1, M2, M5, M6, M8",[]
2025-07-03,S,テキスト 6.txt,0,0,0,0,0,1,1,1,,"テキスト 6.txt: M6, M7, M8",[]
2025-07-03,S,テキスト 7.txt,0,0,0,0,1,1,0,0,,"テキスト 7.txt: M5, M6",[]
2025-07-03,S,テキスト 8.txt,0,0,0,0,1,1,0,0,,"テキスト 8.txt: M5, M6",[]
2025-07-03,SSS,テキスト 9.txt,1,0,0,0,0,1,1,0,,"テキスト 9.txt: M1, M6, M7",[]
2025-07-03,SSS,テキスト 10.txt,1,0,0,0,0,1,1,0,,"テキスト 10.txt: M1, M6, M7",[]
2025-07-03,S,テキスト 11.txt,0,0,0,0,1,1,0,0,,"テキスト 11.txt: M5, M6",[]
2025-07-03,S,テキスト 12.txt,0,1,1,0,1,1,1,1,,"テキスト 12.txt: M2, M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 13.txt,0,0,0,0,0,1,0,0,,テキスト 13.txt: M6,[]
2025-07-03,S,テキスト 14.txt,0,0,0,0,0,1,0,0,,テキスト 14.txt: M6,[]
2025-07-03,S,テキスト 15.txt,0,0,0,0,0,1,0,0,,テキスト 15.txt: M6,[]
2025-07-03,S,テキスト 16.txt,0,0,0,0,0,1,0,1,,"テキスト 16.txt: M6, M8",[]
2025-07-03,S,テキスト 17.txt,0,0,0,0,0,1,0,1,,"テキスト 17.txt: M6, M8",[]
2025-07-03,S,テキスト 18.txt,0,1,1,0,1,1,1,1,,"テキスト 18.txt: M2, M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 19.txt,0,0,1,0,1,1,1,1,,"テキスト 19.txt: M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 20.txt,0,0,0,0,0,1,1,1,,"テキスト 20.txt: M6, M7, M8",[]
2025-07-03,S,テキスト 21.txt,0,0,0,0,0,1,1,0,,"テキスト 21.txt: M6, M7",[]
2025-07-03,S,テキスト 22.txt,0,0,0,0,0,1,1,1,,"テキスト 22.txt: M6, M7, M8",[]
2025-07-03,S,テキスト 23.txt,0,0,0,0,1,1,0,1,,"テキスト 23.txt: M5, M6, M8",[]
2025-07-03,S,テキスト 24.txt,0,0,0,0,1,1,0,1,,"テキスト 24.txt: M5, M6, M8",[]
2025-07-03,S,テキスト 25.txt,0,0,0,0,0,1,0,0,,テキスト 25.txt: M6,[]
2025-07-03,S,テキスト 26.txt,0,0,0,0,0,1,1,1,,"テキスト 26.txt: M6, M7, M8",[]
2025-07-03,S,テキスト 27.txt,0,0,0,0,1,1,1,0,,"テキスト 27.txt: M5, M6, M7",[]
2025-07-03,S,テキスト 28.txt,0,0,0,0,1,1,1,0,,"テキスト 28.txt: M5, M6, M7",[]
2025-07-03,S,テキスト 29.txt,0,0,0,0,0,1,0,0,,テキスト 29.txt: M6,[]
2025-07-03,SSS,テキスト 30.txt,1,1,1,1,1,1,1,1,PB-γ,"テキスト 30.txt: M1, M2, M3, M4, M5, M6, M7, M8",[]
2025-07-03,SSS,テキスト 31.txt,1,1,1,0,1,1,1,1,,"テキスト 31.txt: M1, M2, M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 32.txt,0,0,1,0,0,1,0,1,,"テキスト 32.txt: M3, M6, M8",[]
2025-07-03,SSS,テキスト 33.txt,1,0,1,0,1,1,1,1,,"テキスト 33.txt: M1, M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 34.txt,0,0,0,0,0,1,0,0,,テキスト 34.txt: M6,[]
2025-07-03,SSS,テキスト 35.txt,1,0,1,0,1,1,1,1,,"テキスト 35.txt: M1, M3, M5, M6, M7, M8",[]
2025-07-03,S,テキスト 36.txt,0,0,0,0,0,0,0,1,,テキスト 36.txt: M8,[]
2025-07-03,S,テキスト 37.txt,0,0,1,0,1,1,0,0,,"テキスト 37.txt: M3, M5, M6",[]
2025-07-03,S,テキスト 38.txt,0,0,0,0,0,1,0,1,,"テキスト 38.txt: M6, M8",[]
2025-07-03,S,テキスト 39.txt,0,0,0,0,0,1,0,1,,"テキスト 39.txt: M6, M8",[]
2025-07-03,S,テキスト 40.txt,0,0,0,0,0,1,0,1,,"テキスト 40.txt: M6, M8",[]
2025-07-03,S,テキスト 41.txt,0,0,0,0,0,1,0,1,,"テキスト 41.txt: M6, M8",[]
2025-07-03,S,テキスト 42.txt,0,0,0,0,0,1,0,1,,"テキスト 42.txt: M6, M8",[]
2025-07-03,S,テキスト 43.txt,0,0,0,0,0,1,0,1,,"テキスト 43.txt: M6, M8",[]
2025-07-03,S,テキスト 44.txt,0,0,0,0,0,1,0,1,,"テキスト 44.txt: M6, M8",[]
2025-07-03,S,テキスト 45.txt,0,0,0,0,0,1,0,1,,"テキスト 45.txt: M6, M8",[]
2025-07-03,S,テキスト 46.txt,0,0,0,0,0,1,0,0,,テキスト 46.txt: M6,[]
2025-07-03,S,テキスト 47.txt,0,1,0,0,1,1,0,1,,"テキスト 47.txt: M2, M5, M6, M8",[]
2025-07-03,S,テキスト 48.txt,0,1,0,0,1,1,0,1,,"テキスト 48.txt: M2, M5, M6, M8",[]
2025-07-03,S,テキスト 49.txt,0,0,0,0,0,1,0,1,,"テキスト 49.txt: M6, M8",[]
2025-07-03,S,テキスト 50.txt,0,0,0,0,0,1,0,1,,"テキスト 50.txt: M6, M8",[]
2025-07-03,S,テキスト 51.txt,0,0,0,0,0,1,0,0,,テキスト 51.txt: M6,[]
2025-07-03,S,テキスト 52.txt,0,0,1,0,1,1,0,0,,"テキスト 52.txt: M3, M5, M6",[]
